price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
150000,Podbara,49,2.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,4,2014.0,novo
97430,Telep,49,3.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,1,2014.0,uobičajeno stanje
97850,Bulevar Evrope,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2014.0,novo
139050,Bulevar Evrope,71,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2014.0,novo
59740,Detelinara,24,1.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,6,2014.0,novo
138980,Bulevar Patrijarha Pavla,66,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terase (2),4,2014.0,novo
54600,Novo Naselje,22,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terase (2),3,1990.0,uobičajeno stanje
132870,Nova Detelinara,83,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1990.0,novo
60500,Novo Naselje,24,1.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,1990.0,novo
167890,Nova Detelinara,93,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,5,1990.0,uobičajeno stanje
