,price,location,surface,rooms,heating,furniture,type,elevator,garage,infrastructure,floor,yearOfBuild,state
139,97850,Nova Detelinara,38,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,6,1986.0,novo
140,136000,Detelinara,67,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1986.0,novo
141,164800,Grbavica,66,3.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,4,1986.0,novo
142,87550,Novo Naselje,47,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1990.0,uobičajeno stanje
143,92700,Rotkvarija,41,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,5,2004.0,uobičajeno stanje
144,41200,Adice,29,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,u izgradnji
145,50000,Adice,37,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,u izgradnji
146,67980,Stari Grad,30,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,2,1966.0,uobičajeno stanje
147,98500,Nova Detelinara,49,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,1993.0,u izgradnji
148,108920,Sajmište,45,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,1,2017.0,uobičajeno stanje
149,200230,Salajka,108,4.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2017.0,uobičajeno stanje
150,336800,Grbavica,218,5.0,centralno grejanje,1,Stan u zgradi,ima lift (1),2,terase (2),5,2017.0,uobičajeno stanje
151,158000,Socijalno,93,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,5,2017.0,uobičajeno stanje
152,79000,Sajmište,32,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,2,1993.0,uobičajeno stanje
153,143000,Nova Detelinara,83,4.0,centralno grejanje,0,Dupleks,ima lift (1),2,terasa,2,1993.0,uobičajeno stanje
154,88580,Tatarsko Brdo,35,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),2,terasa,1,2020.0,novo
155,79850,Salajka,25,1.0,grejanje na gas,0,Stan u zgradi,ima lift (1),2,terasa,3,2022.0,u izgradnji
156,289000,Telep,125,5.0,centralno grejanje,0,Stan u zgradi,ima lift (1),2,terasa,1,2023.0,u izgradnji
157,225000,Cara Dušana,90,4.0,etažno grejanje,0,Stan u zgradi,ima lift (2),1,terasa,2,2023.0,novo
158,252000,Liman 4,97,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"tavan, terase (2)",6,2000.0,novo
159,107070,Kej,63,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1975.0,uobičajeno stanje
160,118450,Železnička stanica,56,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,1980.0,uobičajeno stanje
161,135000,Bulevar Oslobođenja,82,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1971.0,uobičajeno stanje
162,279000,Telep,151,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2021.0,u izgradnji
163,99910,Telep,41,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2022.0,u izgradnji
164,62750,Petrovaradin,42,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,6,1985.0,u izgradnji
165,95000,Podbara,36,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,3,2021.0,u izgradnji
166,108000,Sajmište,54,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2021.0,uobičajeno stanje
167,211150,Lipov Gaj,130,4.0,grejanje na gas,2,Stan u zgradi,ima lift (1),1,terasa,2,2007.0,novo
168,89610,Socijalno,36,2.0,centralno grejanje,2,Stan u zgradi,ima lift (1),1,terasa,3,2000.0,novo
169,94000,Stari Grad,36,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,3,2000.0,novo
170,175000,Salajka,68,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2022.0,novo
171,108000,Socijalno,47,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2013.0,novo
172,75000,Petrovaradin,36,2.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,2013.0,u izgradnji
173,103000,Adice,62,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,2,2013.0,u izgradnji
174,112800,Novo Naselje,57,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"dvorište, tavan, terasa",3,1980.0,u izgradnji
175,60500,Novo Naselje,48,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,"dvorište, tavan, terasa",1,1980.0,potrebno renoviranje
176,246000,Liman 2,102,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,5,2023.0,renovirano
177,207600,Stari Grad,72,3.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,novo
178,129380,Adice,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,novo
179,100625,Veternik,75,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,2023.0,novo
180,134444,Veternik,81,4.0,podno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,2023.0,novo
181,270000,Železnička stanica,125,4.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,2,1998.0,novo
182,87650,Podbara,45,2.0,centralno grejanje,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,renovirano
183,71370,Novo Naselje,33,2.0,centralno grejanje,1,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,renovirano
184,135000,Adamovićevo Naselje,60,3.0,grejanje na gas,0,Stan u zgradi,ima lift (1),1,terasa,1,1998.0,novo
